meanRF,meanNRF,HighSupportCladesProp,RFConsensus,NRFConsensus,CladeRecoveryConsensus,RFMCC,NRFMCC,CladeRecoveryMCC,likelihoodESS,priorESS,jointESS,tier,ZIP,leaves,independent_sites
5.5331629818909,0.395225927277921,0.555555555555556,5,0.357142857142857,0.5,2,0.142857142857143,0.8,8374.69837722521,9001.0,8357.6674046445,4,"ZIP(0.2, 3.75)",10,100
1.81557604710588,0.129684003364706,0.777777777777778,2,0.142857142857143,0.8,2,0.142857142857143,0.8,9577.52888529448,9001.0,9725.034179248,2,"ZIP(0.5, 6.0)",10,100
4.3524052883013,0.310886092021521,0.555555555555556,4,0.285714285714286,0.6,4,0.285714285714286,0.7,9001.00000000001,9000.99999999999,9001.0,3,"ZIP(0.5, 6.0)",10,100
1.00922119764471,0.0720872284031933,0.888888888888889,0,0.0,0.9,0,0.0,0.9,8154.48428738481,9001.00000000001,8263.27005784225,4,"ZIP(0.5, 6.0)",10,100
2.7861348739029,0.199009633850207,0.555555555555556,1,0.0714285714285714,0.8,2,0.142857142857143,0.8,8410.28554403644,9000.99999999999,8838.77845209634,2,"ZIP(0.7, 10.0)",10,100
4.71614265081658,0.336867332201184,0.666666666666667,4,0.285714285714286,0.6,6,0.428571428571429,0.6,8335.86423422836,9001.00000000001,7786.31801810826,3,"ZIP(0.7, 10.0)",10,100
2.81746472614154,0.201247480438681,0.777777777777778,2,0.142857142857143,0.8,2,0.142857142857143,0.8,8026.95408235972,3.1920156323356,18.4381443872002,4,"ZIP(0.7, 10.0)",10,100
5.63604043995112,0.402574317139365,0.666666666666667,4,0.285714285714286,0.6,6,0.428571428571429,0.6,7509.52950072932,9000.99999999994,7546.83231349115,2,"ZIP(0.9, 30.0)",10,100
9.19342295300522,0.656673068071802,0.5,8,0.571428571428571,0.4,8,0.571428571428571,0.5,8350.7142583926,8730.49061355523,8339.31284787354,3,"ZIP(0.9, 30.0)",10,100
5.43517386957005,0.388226704969289,0.555555555555556,4,0.285714285714286,0.7,4,0.285714285714286,0.7,8350.16465425025,9001.00000000002,8384.04967291738,4,"ZIP(0.9, 30.0)",10,100
5.38206865903789,0.384433475645563,0.444444444444444,3,0.214285714285714,0.7,4,0.285714285714286,0.7,9000.99999999998,9001.00000000006,9000.99999999999,1,independent,10,200
9.39206754805022,0.670861967717873,0.444444444444444,8,0.571428571428571,0.4,10,0.714285714285714,0.4,8389.55608595035,8522.6547164282,8245.63665310116,2,"ZIP(0.2, 3.75)",10,200
6.70414398400178,0.478867427428698,0.555555555555556,6,0.428571428571429,0.5,8,0.571428571428571,0.5,9000.99999999999,9001.00000000003,9001.00000000002,3,"ZIP(0.2, 3.75)",10,200
5.01366514831685,0.35811893916549,0.666666666666667,3,0.214285714285714,0.6,6,0.428571428571429,0.6,11327.2187810483,8466.97998489792,9000.99999999998,4,"ZIP(0.2, 3.75)",10,200
5.86512609710032,0.418937578364309,0.555555555555556,5,0.357142857142857,0.6,6,0.428571428571429,0.6,1.96197047961732,0.993784233569204,1.30504419637928,2,"ZIP(0.5, 6.0)",10,200
7.97400288856794,0.56957163489771,0.625,7,0.5,0.5,8,0.571428571428571,0.5,9001.00000000003,9000.99999999995,9071.77063993328,3,"ZIP(0.5, 6.0)",10,200
4.83524052883013,0.345374323487866,0.666666666666667,4,0.285714285714286,0.7,4,0.285714285714286,0.7,9001.00000000001,9219.73727180202,9001.00000000001,4,"ZIP(0.5, 6.0)",10,200
4.5390512165315,0.324217944037964,0.444444444444444,3,0.214285714285714,0.7,4,0.285714285714286,0.7,9000.99999999999,9000.99999999995,9001.00000000003,2,"ZIP(0.7, 10.0)",10,200
6.92900788801244,0.494929134858032,0.444444444444444,4,0.285714285714286,0.6,6,0.428571428571429,0.6,4.55732772696201,3.05657931517035,3.46512945373036,3,"ZIP(0.7, 10.0)",10,200
3.95556049327852,0.28254003523418,0.666666666666667,3,0.214285714285714,0.7,2,0.142857142857143,0.8,8722.50219101714,9001.00000000002,8604.45958412615,4,"ZIP(0.7, 10.0)",10,200
6.60148872347517,0.471534908819655,0.444444444444444,4,0.285714285714286,0.6,4,0.285714285714286,0.7,8018.51076620683,4.53176419559976,79.3577259260736,2,"ZIP(0.9, 30.0)",10,200
3.87156982557494,0.276540701826781,0.555555555555556,1,0.0714285714285714,0.8,2,0.142857142857143,0.8,8626.31277174417,9000.99999999996,8573.28276825693,3,"ZIP(0.9, 30.0)",10,200
8.62815242750805,0.616296601964861,0.444444444444444,4,0.285714285714286,0.5,8,0.571428571428571,0.5,9001.0,7777.41917671299,9001.00000000002,4,"ZIP(0.9, 30.0)",10,200
8.92100877680258,0.637214912628756,0.333333333333333,5,0.357142857142857,0.4,8,0.571428571428571,0.5,9001.00000000001,7812.37286417262,7799.60292656339,1,independent,10,10
8.49616709254527,0.606869078038948,0.444444444444444,5,0.357142857142857,0.4,8,0.571428571428571,0.5,9000.99999999997,9001.0,8732.42052703227,2,"ZIP(0.2, 3.75)",10,10
10.0402177535829,0.71715841097021,0.222222222222222,6,0.428571428571429,0.2,6,0.428571428571429,0.6,9388.36757129677,8326.60232542203,8530.00464103962,3,"ZIP(0.2, 3.75)",10,10
10.1073214087324,0.721951529195169,0.333333333333333,9,0.642857142857143,0.2,10,0.714285714285714,0.4,9000.99999999998,9000.99999999997,8677.4831498718,4,"ZIP(0.2, 3.75)",10,10
9.96555938229086,0.711825670163633,0.333333333333333,7,0.5,0.3,8,0.571428571428571,0.5,9001.00000000002,8677.9504499396,8689.09445414715,2,"ZIP(0.5, 6.0)",10,10
