site_dep_param,total tiers,current tier,size,leaves,independent_sites
"ZIP(0.7, 10.0)",3,3,136,10,10
"ZIP(0.7, 10.0)",4,1,10,10,10
"ZIP(0.7, 10.0)",4,2,14,10,10
"ZIP(0.7, 10.0)",4,3,43,10,10
"ZIP(0.7, 10.0)",4,4,142,10,10
"ZIP(0.9, 30.0)",2,1,10,10,10
"ZIP(0.9, 30.0)",2,2,41,10,10
"ZIP(0.9, 30.0)",3,1,10,10,10
"ZIP(0.9, 30.0)",3,2,40,10,10
"ZIP(0.9, 30.0)",3,3,81,10,10
"ZIP(0.9, 30.0)",4,1,10,10,10
"ZIP(0.9, 30.0)",4,2,61,10,10
"ZIP(0.9, 30.0)",4,3,164,10,10
"ZIP(0.9, 30.0)",4,4,425,10,10
"ZIP(0.2, 3.75)",2,1,50,10,50
"ZIP(0.2, 3.75)",2,2,155,10,50
"ZIP(0.2, 3.75)",3,1,50,10,50
"ZIP(0.2, 3.75)",3,2,141,10,50
"ZIP(0.2, 3.75)",3,3,425,10,50
"ZIP(0.2, 3.75)",4,1,50,10,50
"ZIP(0.2, 3.75)",4,2,146,10,50
"ZIP(0.2, 3.75)",4,3,466,10,50
"ZIP(0.2, 3.75)",4,4,1371,10,50
"ZIP(0.5, 6.0)",2,1,50,10,50
"ZIP(0.5, 6.0)",2,2,114,10,50
"ZIP(0.5, 6.0)",3,1,50,10,50
"ZIP(0.5, 6.0)",3,2,179,10,50
"ZIP(0.5, 6.0)",3,3,520,10,50
"ZIP(0.5, 6.0)",4,1,50,10,50
"ZIP(0.5, 6.0)",4,2,153,10,50
"ZIP(0.5, 6.0)",4,3,459,10,50
"ZIP(0.5, 6.0)",4,4,1324,10,50
"ZIP(0.7, 10.0)",2,1,50,10,50
"ZIP(0.7, 10.0)",2,2,152,10,50
"ZIP(0.7, 10.0)",3,1,50,10,50
"ZIP(0.7, 10.0)",3,2,148,10,50
"ZIP(0.7, 10.0)",3,3,473,10,50
"ZIP(0.7, 10.0)",4,1,50,10,50
"ZIP(0.7, 10.0)",4,2,188,10,50
"ZIP(0.7, 10.0)",4,3,522,10,50
"ZIP(0.7, 10.0)",4,4,1456,10,50
"ZIP(0.9, 30.0)",2,1,50,10,50
"ZIP(0.9, 30.0)",2,2,286,10,50
"ZIP(0.9, 30.0)",3,1,50,10,50
"ZIP(0.9, 30.0)",3,2,64,10,50
"ZIP(0.9, 30.0)",3,3,137,10,50
"ZIP(0.9, 30.0)",4,1,50,10,50
"ZIP(0.9, 30.0)",4,2,126,10,50
"ZIP(0.9, 30.0)",4,3,510,10,50
"ZIP(0.9, 30.0)",4,4,1597,10,50
"ZIP(0.2, 3.75)",2,1,100,10,100
"ZIP(0.2, 3.75)",2,2,310,10,100
"ZIP(0.2, 3.75)",3,1,100,10,100
"ZIP(0.2, 3.75)",3,2,294,10,100
"ZIP(0.2, 3.75)",3,3,873,10,100
"ZIP(0.2, 3.75)",4,1,100,10,100
"ZIP(0.2, 3.75)",4,2,327,10,100
"ZIP(0.2, 3.75)",4,3,1040,10,100
"ZIP(0.2, 3.75)",4,4,3199,10,100
"ZIP(0.5, 6.0)",2,1,100,10,100
"ZIP(0.5, 6.0)",2,2,253,10,100
"ZIP(0.5, 6.0)",3,1,100,10,100
"ZIP(0.5, 6.0)",3,2,333,10,100
"ZIP(0.5, 6.0)",3,3,1038,10,100
"ZIP(0.5, 6.0)",4,1,100,10,100
"ZIP(0.5, 6.0)",4,2,236,10,100
"ZIP(0.5, 6.0)",4,3,733,10,100
"ZIP(0.5, 6.0)",4,4,2187,10,100
"ZIP(0.7, 10.0)",2,1,100,10,100
"ZIP(0.7, 10.0)",2,2,332,10,100
"ZIP(0.7, 10.0)",3,1,100,10,100
"ZIP(0.7, 10.0)",3,2,360,10,100
"ZIP(0.7, 10.0)",3,3,990,10,100
"ZIP(0.7, 10.0)",4,1,100,10,100
"ZIP(0.7, 10.0)",4,2,222,10,100
"ZIP(0.7, 10.0)",4,3,582,10,100
"ZIP(0.7, 10.0)",4,4,1803,10,100
"ZIP(0.9, 30.0)",2,1,100,10,100
"ZIP(0.9, 30.0)",2,2,267,10,100
"ZIP(0.9, 30.0)",3,1,100,10,100
"ZIP(0.9, 30.0)",3,2,369,10,100
"ZIP(0.9, 30.0)",3,3,1077,10,100
"ZIP(0.9, 30.0)",4,1,100,10,100
"ZIP(0.9, 30.0)",4,2,263,10,100
"ZIP(0.9, 30.0)",4,3,683,10,100
"ZIP(0.9, 30.0)",4,4,2368,10,100
"ZIP(0.2, 3.75)",2,1,200,10,200
"ZIP(0.2, 3.75)",2,2,583,10,200
"ZIP(0.2, 3.75)",3,1,200,10,200
"ZIP(0.2, 3.75)",3,2,598,10,200
"ZIP(0.2, 3.75)",3,3,1749,10,200
"ZIP(0.2, 3.75)",4,1,200,10,200
"ZIP(0.2, 3.75)",4,2,627,10,200
"ZIP(0.2, 3.75)",4,3,1958,10,200
"ZIP(0.2, 3.75)",4,4,5811,10,200
"ZIP(0.5, 6.0)",2,1,200,10,200
"ZIP(0.5, 6.0)",2,2,550,10,200
"ZIP(0.5, 6.0)",3,1,200,10,200
"ZIP(0.5, 6.0)",3,2,552,10,200
"ZIP(0.5, 6.0)",3,3,1582,10,200
"ZIP(0.5, 6.0)",4,1,200,10,200
"ZIP(0.5, 6.0)",4,2,667,10,200
"ZIP(0.5, 6.0)",4,3,2092,10,200
"ZIP(0.5, 6.0)",4,4,6388,10,200
"ZIP(0.7, 10.0)",2,1,200,10,200
"ZIP(0.7, 10.0)",2,2,590,10,200
"ZIP(0.7, 10.0)",3,1,200,10,200
"ZIP(0.7, 10.0)",3,2,537,10,200
"ZIP(0.7, 10.0)",3,3,1492,10,200
"ZIP(0.7, 10.0)",4,1,200,10,200
"ZIP(0.7, 10.0)",4,2,545,10,200
"ZIP(0.7, 10.0)",4,3,1762,10,200
"ZIP(0.7, 10.0)",4,4,5241,10,200
"ZIP(0.9, 30.0)",2,1,200,10,200
"ZIP(0.9, 30.0)",2,2,660,10,200
"ZIP(0.9, 30.0)",3,1,200,10,200
"ZIP(0.9, 30.0)",3,2,465,10,200
"ZIP(0.9, 30.0)",3,3,1243,10,200
"ZIP(0.9, 30.0)",4,1,200,10,200
"ZIP(0.9, 30.0)",4,2,644,10,200
"ZIP(0.9, 30.0)",4,3,1767,10,200
"ZIP(0.9, 30.0)",4,4,5661,10,200
"ZIP(0.2, 3.75)",2,1,10,10,10
"ZIP(0.2, 3.75)",2,2,17,10,10
"ZIP(0.2, 3.75)",3,1,10,10,10
"ZIP(0.2, 3.75)",3,2,39,10,10
"ZIP(0.2, 3.75)",3,3,128,10,10
"ZIP(0.2, 3.75)",4,1,10,10,10
"ZIP(0.2, 3.75)",4,2,35,10,10
"ZIP(0.2, 3.75)",4,3,134,10,10
"ZIP(0.2, 3.75)",4,4,377,10,10
"ZIP(0.5, 6.0)",2,1,10,10,10
"ZIP(0.5, 6.0)",2,2,33,10,10
"ZIP(0.5, 6.0)",3,1,10,10,10
"ZIP(0.5, 6.0)",3,2,24,10,10
"ZIP(0.5, 6.0)",3,3,67,10,10
"ZIP(0.5, 6.0)",4,1,10,10,10
"ZIP(0.5, 6.0)",4,2,39,10,10
"ZIP(0.5, 6.0)",4,3,83,10,10
"ZIP(0.5, 6.0)",4,4,252,10,10
"ZIP(0.7, 10.0)",2,1,10,10,10
"ZIP(0.7, 10.0)",2,2,42,10,10
"ZIP(0.7, 10.0)",3,1,10,10,10
"ZIP(0.7, 10.0)",3,2,36,10,10
"ZIP(0.7, 10.0)",3,3,111,10,10
"ZIP(0.7, 10.0)",4,1,10,10,10
"ZIP(0.7, 10.0)",4,2,53,10,10
"ZIP(0.7, 10.0)",4,3,162,10,10
"ZIP(0.7, 10.0)",4,4,542,10,10
"ZIP(0.9, 30.0)",2,1,10,10,10
"ZIP(0.9, 30.0)",2,2,58,10,10
"ZIP(0.9, 30.0)",3,1,10,10,10
"ZIP(0.9, 30.0)",3,2,81,10,10
"ZIP(0.9, 30.0)",3,3,258,10,10
"ZIP(0.9, 30.0)",4,1,10,10,10
"ZIP(0.9, 30.0)",4,2,52,10,10
"ZIP(0.9, 30.0)",4,3,158,10,10
"ZIP(0.9, 30.0)",4,4,515,10,10
"ZIP(0.2, 3.75)",2,1,50,10,50
"ZIP(0.2, 3.75)",2,2,161,10,50
"ZIP(0.2, 3.75)",3,1,50,10,50
"ZIP(0.2, 3.75)",3,2,143,10,50
"ZIP(0.2, 3.75)",3,3,419,10,50
"ZIP(0.2, 3.75)",4,1,50,10,50
"ZIP(0.2, 3.75)",4,2,155,10,50
"ZIP(0.2, 3.75)",4,3,408,10,50
"ZIP(0.2, 3.75)",4,4,1245,10,50
"ZIP(0.5, 6.0)",2,1,50,10,50
"ZIP(0.5, 6.0)",2,2,131,10,50
"ZIP(0.5, 6.0)",3,1,50,10,50
"ZIP(0.5, 6.0)",3,2,139,10,50
"ZIP(0.5, 6.0)",3,3,444,10,50
"ZIP(0.5, 6.0)",4,1,50,10,50
"ZIP(0.5, 6.0)",4,2,117,10,50
