# BEAST v10.5.0
# Generated Sat Feb 28 11:54:06 GMT 2026 [seed=1772279634185]
# -window -working -options
state	joint	prior	likelihood	rootHeight	treeLength	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
300000	-499.0862367641083	-2.6215160116049727	-496.46472075250335	0.360017061141728	1.3660065291435002	0.5852686167047961	0.6161678565314707	1.0	1.0	-496.46472075250335	0.0	-1.3087241861016894
310000	-504.2766898556575	-2.3192296294563937	-501.9574602262011	0.3860153824396646	1.2437724927859966	1.101575827274635	0.4285219460908054	1.0	1.0	-501.9574602262011	0.0	-0.7167785940106917
320000	-498.8941440345191	-2.83940476202224	-496.0547392724969	0.309483126955321	1.169258409751265	1.8185793472210268	0.5846732309710642	1.0	1.0	-496.0547392724969	0.0	-0.8810434392453289
330000	-499.0192466616554	-2.229399344776623	-496.7898473168788	0.3384775562108153	1.2091235482730411	0.7553489904400846	0.6911093628866088	1.0	1.0	-496.7898473168788	0.0	-0.8211548012734826
340000	-499.2675281187295	-2.8998305158478646	-496.36769760288166	0.34653161556523904	1.286928951376845	2.6260543753694705	0.1128307933458374	1.0	1.0	-496.36769760288166	0.0	-0.609679623656149
350000	-500.0156570099987	-4.577518147719934	-495.4381388622787	0.32449728324611427	1.200471375112543	0.32329341298741	0.15947102299345506	1.0	1.0	-495.4381388622787	0.0	-3.374871427391039
360000	-501.9659042215206	-3.3967232749738834	-498.5691809465467	0.36970757759784123	1.3296637884922038	1.8702810879612675	0.582326513415913	1.0	1.0	-498.5691809465467	0.0	-1.4151620919282761
370000	-498.9565464218212	-3.1604147244437266	-495.79613169737746	0.34029532227604953	1.2241393886828393	2.8603628906590433	0.28420371329953725	1.0	1.0	-495.79613169737746	0.0	-0.7844857482095822
380000	-499.8638235389718	-2.4144359114203495	-497.44938762755146	0.3734862903086199	1.249598649453046	1.5573974316646773	0.13606987274378857	1.0	1.0	-497.44938762755146	0.0	-0.5780759221537077
390000	-498.77904498428825	-2.166748984518698	-496.6122959997696	0.27089676029606846	1.0733605403242235	1.2524321377579013	0.644997476758154	1.0	1.0	-496.6122959997696	0.0	-0.4838158426915513
400000	-500.7410444040835	-4.588144155094233	-496.1529002489892	0.3626972463907125	1.4060411482069335	3.162655223207604	0.41598834971979454	1.0	1.0	-496.1529002489892	0.0	-2.1072340064623742
410000	-501.8173474222788	-2.373940869060692	-499.4434065532181	0.37070635595156265	1.2129849568003066	1.5838239147742554	0.04228708286127606	1.0	1.0	-499.4434065532181	0.0	-0.5248572092626216
420000	-500.7153286434574	-2.9509681371200296	-497.76436050633737	0.3942402860611349	1.443606535230898	0.7491274897849636	0.760903950940013	1.0	1.0	-497.76436050633737	0.0	-1.546271867810418
430000	-500.6598904086632	-3.1192450717202855	-497.54064533694293	0.3435573404049403	1.2665031508590132	1.8824340212196673	0.5521600559401885	1.0	1.0	-497.54064533694293	0.0	-1.132274017687587
440000	-498.6303243240092	-2.5221814587937748	-496.1081428652154	0.3374965020409569	1.298911124152448	1.0652249727605507	0.3123318046940524	1.0	1.0	-496.1081428652154	0.0	-0.9395650352173475
450000	-498.36832799132134	-2.3601838509072692	-496.00814414041406	0.3604565665209886	1.2413966553090163	1.245249159146789	0.40843962022738584	1.0	1.0	-496.00814414041406	0.0	-0.6810141615318925
460000	-499.9480983242341	-2.7065690834321225	-497.241529240802	0.3798564264174836	1.4201361888011708	1.2456125832039995	0.2422588820003069	1.0	1.0	-497.241529240802	0.0	-1.0272088147838194
