# BEAST v10.5.0
# Generated Thu Feb 12 23:51:34 GMT 2026 [seed=1770940276861]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
20000	-454.1398926605943	-27.39366107501438	-426.7462315855799	238.75600523486384	-238.75600523486384	575.4678392120821	107.32985180097245	0.004975881262803826	0.004975881262803826	-426.7462315855799	0.0	-18.094357152879432
21000	-452.3200475792722	-27.656395878319774	-424.66365170095247	106.81834684976394	-106.81834684976394	231.55320970303853	125.94319712120235	0.018517046762951146	0.018517046762951146	-424.66365170095247	0.0	-15.642260937227135
22000	-448.639680808086	-25.79385837381091	-422.8458224342751	134.6324061763909	-134.6324061763909	292.9414314396405	50.81024609966092	0.01351194165387481	0.01351194165387481	-422.8458224342751	0.0	-15.366296140407199
23000	-446.24460778806946	-21.83436800085436	-424.4102397872151	20.71369515670339	-20.71369515670339	46.369268895104874	25.822173991283744	0.07252941889624673	0.07252941889624674	-424.4102397872151	0.0	-10.941175745978882
24000	-450.5827941592869	-24.55442620430006	-426.02836795498683	72.98321124302984	-72.98321124302984	168.47163978615825	15.359707700065295	0.017768938617260997	0.017768938617260997	-426.02836795498683	0.0	-15.908572133667512
25000	-447.1159218070869	-22.69708719369435	-424.41883461339256	49.09712738393227	-49.09712738393227	110.34634567162723	43.57447857177058	0.023669583901016446	0.023669583901016443	-424.41883461339256	0.0	-13.008106116604582
26000	-453.8521487682908	-25.469571487501334	-428.38257728078946	52.65282478616456	-52.65282478616456	137.2070027013614	107.70090093661766	0.018468186173465826	0.018468186173465823	-428.38257728078946	0.0	-15.123374165198985
27000	-447.7208850583345	-24.380780489102953	-423.3401045692315	33.022715627417135	-33.022715627417135	75.41302058377433	70.8536910425542	0.037832627997058756	0.03783262799705876	-423.3401045692315	0.0	-13.512827676849135
28000	-449.8051199988152	-24.846253250449077	-424.9588667483661	29.45587292520317	-29.45587292520317	63.878444682149194	51.95383567579239	0.06561140994119453	0.06561140994119453	-424.9588667483661	0.0	-12.610781638350764
29000	-448.8355074000556	-26.06621476059044	-422.76929263946516	28.83768132824525	-28.83768132824525	68.05962980715856	110.4121998015851	0.04255839471953235	0.04255839471953234	-422.76929263946516	0.0	-14.5619571661606
30000	-451.30926448912817	-28.114151453320293	-423.1951130358079	178.22029824011054	-178.22029824011054	392.8522489952811	185.85368465840781	0.009004644972573262	0.009004644972573262	-423.1951130358079	0.0	-17.02634054899375
31000	-451.23989411774716	-25.519684426488563	-425.7202096912586	152.8853605331117	-152.8853605331117	365.12388958790376	100.68710918531139	0.0062303048200310004	0.006230304820031001	-425.7202096912586	0.0	-16.539590212412946
32000	-452.7827227161485	-28.41770280722901	-424.36501990891946	238.960726999193	-238.960726999193	591.1702778630945	292.27777528448365	0.003900253947402765	0.003900253947402765	-424.36501990891946	0.0	-18.625641161579917
33000	-454.70672830835787	-30.622720900478463	-424.0840074078794	592.5512904589831	-592.5512904589831	1455.8164562574893	460.7543835038064	0.0017248731964855499	0.0017248731964855499	-424.0840074078794	0.0	-20.860645854294056
34000	-455.7397183819795	-32.23317377422171	-423.5065446077578	1190.7814507554215	-1190.7814507554215	2825.4154472766413	341.94598986459283	8.79171214830111E-4	8.79171214830111E-4	-423.5065446077578	0.0	-23.583404916872833
35000	-455.50521388408174	-32.893083627664026	-422.61213025641774	1103.154898897473	-1103.154898897473	2436.3563015478176	319.59561213754296	0.0017280857220553095	0.0017280857220553095	-422.61213025641774	0.0	-22.195014407992364
36000	-458.3042422344493	-31.92203542696582	-426.3822068074835	306.489106655419	-306.489106655419	760.0682894503784	845.1171073308441	0.002858299894025762	0.0028582998940257613	-426.3822068074835	0.0	-20.930696172450954
37000	-454.7893058804102	-32.30549422302555	-422.48381165738465	778.8139191924009	-778.8139191924009	1746.295475392822	554.1080871321482	0.00213169801729199	0.00213169801729199	-422.48381165738465	0.0	-21.039361727566117
38000	-461.8216779388905	-35.13491120451043	-426.68676673438006	1278.1578884628984	-1278.1578884628984	3087.534497299407	1278.222470880275	0.0010872786733281436	0.0010872786733281434	-426.68676673438006	0.0	-23.296757010823583
39000	-456.69545192507155	-34.19819657923185	-422.49725534583973	1068.4839146737665	-1068.4839146737665	2418.318154808888	1124.3616641606466	0.001342112091413405	0.0013421120914134045	-422.49725534583973	0.0	-22.525952681072834
40000	-461.6994024044955	-36.83281856541471	-424.8665838390808	2768.729476289452	-2768.729476289452	6972.957373285262	747.6227562113106	4.1662427188949333E-4	4.166242718894934E-4	-424.8665838390808	0.0	-27.399919562996367
41000	-465.1579700713306	-37.69153888132631	-427.4664311900043	4371.703850020391	-4371.703850020391	10763.371032965868	1688.162859313772	2.4151499776084591E-4	2.4151499776084594E-4	-427.4664311900043	0.0	-27.299685683516316
42000	-461.68348347452957	-37.83286194841611	-423.85062152611346	4200.719374666272	-4200.719374666272	10203.314978892437	971.3959942580348	2.5330528027431315E-4	2.5330528027431315E-4	-423.85062152611346	0.0	-28.67429688795086
43000	-460.77551143591796	-36.55378091625185	-424.2217305196661	2501.5737273531304	-2501.5737273531304	6187.800649391775	1924.2292984680128	4.231014279872481E-4	4.231014279872482E-4	-424.2217305196661	0.0	-25.219431032389934
44000	-459.7247342141266	-34.910425648004754	-424.81430856612184	2270.041077483913	-2270.041077483913	5535.784831188051	1084.9030226906925	4.690873616135167E-4	4.690873616135167E-4	-424.81430856612184	0.0	-24.901902786801177
45000	-457.51942234021	-35.39533086849813	-422.12409147171184	1145.6853776202813	-1145.6853776202813	2543.445005922052	1225.955372002137	0.0015888998661369338	0.0015888998661369338	-422.12409147171184	0.0	-22.680274321151906
46000	-457.78656556635116	-34.26055817564306	-423.5260073907081	1770.4748840181735	-1770.4748840181735	4305.702474735577	799.6606728083548	6.838557438439174E-4	6.838557438439174E-4	-423.5260073907081	0.0	-24.18019283114063
47000	-457.69598680713415	-33.57377383627342	-424.12221297086074	1305.2430130038997	-1305.2430130038997	3139.954698654048	400.83897810159584	0.0010426120147008786	0.0010426120147008788	-424.12221297086074	0.0	-23.88415745094657
48000	-455.6331840342125	-32.76477647107551	-422.868407563137	1191.372985302838	-1191.372985302838	2656.8985947243646	491.85832192733625	0.0013896772816303672	0.001389677281630367	-422.868407563137	0.0	-22.134041683152326
49000	-457.0858464663028	-29.44819929727782	-427.637647169025	648.2821527764536	-648.2821527764536	1510.9841692031764	282.76156378647187	0.0014602246532131387	0.0014602246532131387	-427.637647169025	0.0	-20.758491141846196
50000	-457.6535337369307	-32.88296610161639	-424.7705676353143	1543.4368218014085	-1543.4368218014085	3546.793038808734	390.04036333563005	7.137824834527045E-4	7.137824834527045E-4	-424.7705676353143	0.0	-24.22391712786823
51000	-456.5963951193382	-34.07542475831444	-422.5209703610237	2040.63750306775	-2040.63750306775	4608.750741353432	662.5157889173005	6.812581095394352E-4	6.81258109539435E-4	-422.5209703610237	0.0	-24.160800932209277
52000	-461.1312034023227	-35.567608759958546	-425.56359464236414	1564.065005984456	-1564.065005984456	4043.409511397864	345.9628117055604	5.948000842302294E-4	5.948000842302294E-4	-425.56359464236414	0.0	-27.355753467002287
53000	-457.71233612486327	-33.2838083044248	-424.4285278204385	1549.2606910958125	-1549.2606910958125	3600.470138390677	640.2819888860245	8.235144723611606E-4	8.235144723611605E-4	-424.4285278204385	0.0	-23.381963259554347
